,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
207,21055,229,76,23958,30446,339,86,33395,17,3,0,0,0,0,0,0,0,6,8,19,26,3,0,0,1,0,1,1,0,19,14,6,1620794171991,red,NA1_3903056549
208,28398,268,76,28267,26021,255,32,24576,23,2,1,0,1,0,1,0,0,16,20,19,20,2,0,0,0,0,1,0,0,19,17,16,1616048666344,blue,NA1_3830723185
209,24997,315,82,28039,25487,280,61,26927,25,6,0,1,0,1,0,1,0,11,17,11,27,7,0,0,0,0,0,0,0,11,13,11,1620959771006,blue,NA1_3905762543
210,24800,334,56,28404,26320,314,84,30476,22,5,0,0,0,0,1,1,0,9,5,14,29,6,1,0,0,1,0,0,0,14,19,9,1616270038370,red,NA1_3834328128
211,22059,314,72,26773,27511,365,108,31650,33,8,0,0,0,0,0,0,0,4,3,16,36,10,0,0,1,1,0,1,0,16,17,4,1617220809578,red,NA1_3848428470
212,28781,309,49,30055,24112,249,88,28936,18,4,0,0,0,1,2,1,0,21,18,12,26,3,0,0,0,0,0,0,0,12,11,21,1616046568714,blue,NA1_3830618412
213,23289,288,68,26135,25501,296,99,29579,24,5,0,0,0,0,0,1,0,10,10,11,25,3,1,0,1,0,0,0,0,11,20,10,1615853059429,red,NA1_3827234160
214,27021,302,84,30214,22048,318,87,28659,25,2,0,1,0,0,0,0,0,15,15,5,17,5,0,0,0,0,0,0,0,5,3,15,1617487625733,blue,NA1_3852469074
215,25249,284,71,28747,25478,337,99,29706,18,4,0,0,0,1,0,0,0,12,15,8,15,4,0,0,0,0,1,1,0,8,1,12,1616087982832,blue,NA1_3831107996
216,27617,302,112,30324,24261,302,64,28715,24,6,0,0,0,0,2,1,0,12,6,13,23,4,1,1,0,0,0,0,0,13,11,12,1617941670604,blue,NA1_3859327962
217,27426,293,96,28242,24344,300,73,28210,29,9,0,1,0,0,1,0,0,14,18,10,30,11,0,0,0,1,0,1,0,10,11,14,1616267769328,blue,NA1_3834343468
218,30392,318,73,31091,24917,328,100,29250,26,5,0,0,0,0,1,1,0,18,22,10,24,6,0,1,0,1,0,0,0,10,6,18,1616085561829,blue,NA1_3831163633
219,21701,300,75,27680,25149,346,89,29584,25,5,0,1,0,0,0,0,0,5,6,11,22,6,1,0,0,0,0,1,0,11,5,5,1617680372433,red,NA1_3855576329
220,26008,315,96,29336,23430,330,70,27266,27,4,1,0,1,0,1,1,0,11,11,9,22,3,0,0,0,0,0,0,0,9,15,11,1616204927491,blue,NA1_3833119646
221,23626,353,86,27647,23961,327,100,27837,29,6,0,1,0,0,1,0,0,5,5,9,27,7,0,0,1,0,0,0,0,9,16,5,1615859212111,blue,NA1_3827411234
222,24418,355,104,28330,22527,291,84,28251,31,5,0,0,1,1,1,0,0,6,2,7,27,4,0,0,0,0,0,1,0,7,4,6,1618086457563,blue,NA1_3861345498
223,27111,318,85,31590,24294,333,100,29930,27,6,0,0,1,0,0,1,0,17,21,7,25,6,0,0,0,0,0,0,0,7,8,17,1620327713370,blue,NA1_3896080108
224,26636,310,80,27589,22601,268,80,24003,26,7,0,0,0,1,1,0,0,14,16,6,28,3,0,0,0,0,0,1,0,6,7,14,1616050812701,blue,NA1_3830748021
225,20336,241,60,23816,27767,279,84,30108,27,1,0,0,0,1,0,0,0,4,9,19,18,5,0,1,0,0,1,1,0,19,19,4,1616044416485,red,NA1_3830621331
226,32393,349,100,33038,23339,209,56,25583,17,3,0,0,0,0,2,0,0,25,18,13,23,0,0,0,0,1,0,0,0,13,12,25,1616215787378,blue,NA1_3833343162
227,22736,342,76,26679,26759,387,90,31661,26,5,0,0,0,1,0,0,0,4,3,13,21,6,0,1,0,0,0,0,0,13,14,4,1615769423878,red,NA1_3825845872
228,25555,268,80,26194,28275,301,72,29394,25,6,0,0,0,0,0,1,0,13,6,15,22,2,0,1,1,0,2,0,0,15,19,13,1616212284055,red,NA1_3833294833
229,29734,391,68,30381,21711,332,74,25147,27,4,1,0,0,0,2,1,0,13,13,4,25,4,0,0,0,0,0,0,0,4,5,13,1615999600508,blue,NA1_3829910067
230,26569,305,88,29206,29766,357,96,30735,24,5,1,0,1,0,1,0,0,13,11,13,27,2,0,0,0,0,2,1,0,13,16,13,1620446388312,blue,NA1_3898022576
231,26045,312,70,30963,25944,293,86,29754,26,5,0,0,0,0,0,1,0,15,16,13,24,4,1,0,0,0,0,0,0,13,18,15,1617844773879,blue,NA1_3857840624
232,23766,269,60,29572,28986,312,84,30353,20,1,0,0,0,0,0,0,0,12,9,16,20,3,0,1,0,1,1,1,0,16,17,12,1615868615113,red,NA1_3827662195
233,25578,321,90,29215,26140,324,74,29189,22,5,0,0,0,0,0,1,0,7,8,13,25,4,1,0,1,0,0,0,0,13,10,7,1615912874642,blue,NA1_3828203197
234,27666,294,56,25584,27168,256,100,27699,18,0,0,0,0,0,1,0,0,14,15,16,15,1,1,1,0,0,0,0,0,16,17,14,1618286956226,red,NA1_3864561231
235,30093,348,76,33158,22127,287,92,26855,20,3,0,1,0,0,2,1,0,18,14,6,19,4,0,0,1,0,0,0,0,6,6,18,1616015685590,blue,NA1_3830097188
236,21600,275,74,24213,29756,339,84,32752,26,5,0,0,0,0,0,1,0,4,5,19,32,5,1,1,0,0,1,0,0,19,18,4,1617826700062,red,NA1_3857537822
237,22923,317,72,26185,28555,339,67,30370,19,3,1,0,0,0,0,0,0,8,13,18,24,4,0,0,0,0,0,0,0,18,28,8,1615919922370,blue,NA1_3828312485
238,27231,328,72,28373,27862,255,70,26622,23,5,0,0,0,0,1,0,0,12,14,19,21,9,0,0,1,0,1,1,0,19,28,12,1618887407990,red,NA1_3873853335
239,27994,304,88,30345,21283,293,53,24449,26,6,0,0,1,0,0,0,0,15,16,8,28,3,0,0,0,1,0,0,0,8,7,15,1616362844914,blue,NA1_3835752085
240,28488,357,82,31350,24116,295,75,26780,25,4,0,0,1,0,1,1,0,15,11,7,21,7,0,1,0,0,1,0,0,7,8,15,1615954811248,blue,NA1_3828985268
241,25017,280,70,28464,22650,225,73,25696,24,1,0,1,0,0,0,0,0,14,12,11,26,6,0,0,0,0,0,0,0,11,10,14,1616308363795,blue,NA1_3835034991
242,31847,375,91,32160,23828,298,84,24887,31,9,0,0,1,0,3,1,0,22,25,9,29,7,0,0,0,0,0,0,0,9,9,22,1615997748807,blue,NA1_3829876814
243,23498,347,76,29143,24309,337,80,30913,28,3,0,0,0,1,0,0,0,7,4,8,25,7,0,0,0,0,0,1,0,8,7,7,1618110941233,red,NA1_3861862272
244,24484,317,76,27434,28422,382,91,30626,24,1,0,0,1,0,0,0,0,8,9,12,17,4,0,0,0,0,0,0,0,12,17,8,1616429020163,blue,NA1_3837001104
