,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
490,29763,343,88,30758,21760,272,95,26781,27,7,0,0,0,1,1,0,0,15,14,4,27,3,0,0,1,0,0,0,0,4,5,15,1612977305006,blue,NA1_3782315447
491,23340,295,88,26572,26859,269,83,26868,24,5,0,1,0,0,0,1,0,8,7,15,28,3,0,0,1,0,1,0,0,15,16,8,1613543762870,red,NA1_3791516636
492,26640,293,60,27547,24488,296,80,27299,28,4,0,0,0,0,1,1,0,10,14,10,23,5,0,0,1,1,0,0,0,10,11,10,1612373530820,blue,NA1_3772229195
493,26237,266,64,26910,28065,310,99,30316,22,7,0,0,0,0,0,1,0,15,12,17,24,3,1,1,0,0,0,0,0,17,16,15,1613355504286,red,NA1_3788207576
494,24776,309,92,29070,28349,385,84,29949,24,5,0,1,0,0,0,0,0,9,14,12,26,3,0,0,0,1,1,1,0,12,14,9,1613633166205,blue,NA1_3792760068
495,26929,296,81,26360,25818,333,49,27039,28,7,1,0,0,0,1,1,0,14,12,10,25,8,0,0,1,0,1,0,0,10,15,14,1610663830197,red,NA1_3744053073
496,24115,291,76,27486,28406,297,68,31700,21,5,0,1,0,0,0,0,0,9,8,19,25,6,1,0,0,0,1,0,0,19,19,9,1613583956620,red,NA1_3791868707
497,30153,354,73,30075,23185,316,90,28855,17,1,0,0,0,0,3,1,0,17,11,7,15,1,0,0,0,1,0,0,0,7,8,17,1607701140950,blue,NA1_3701043807
498,28586,271,74,29003,28875,263,45,28402,22,1,0,0,1,0,1,0,0,19,19,18,20,2,0,0,0,0,0,1,0,18,25,19,1607703317935,blue,NA1_3701045971
499,28779,310,48,28904,24171,293,85,27281,29,8,1,0,0,0,2,0,0,18,19,11,22,11,0,0,1,0,0,0,0,11,5,18,1609010424583,red,NA1_3719889210
500,26805,290,92,28789,26922,321,40,28385,17,7,0,0,0,0,0,0,0,15,14,16,31,2,0,0,1,0,1,0,0,16,14,15,1609088929807,red,NA1_3720879524
