blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26830,317,80,30506,24769,329,86,28145,24,5,0,0,0,1,0,1,0,17,16,9,22,5,0,1,0,0,0,0,0,9,8,17,1621551446917,red,NA1_3914008465
26552,301,88,30340,26095,342,76,29784,27,5,0,1,0,0,0,1,0,15,9,13,22,5,1,0,0,0,0,0,0,13,10,15,1621393216476,blue,NA1_3911906511
24534,314,80,28188,25819,363,92,30780,23,5,0,0,0,1,0,0,0,10,9,10,22,7,1,0,0,0,0,0,0,10,6,10,1620593531328,red,NA1_3900079665
25610,289,80,26220,26282,294,74,27371,19,2,0,1,0,0,1,0,0,13,9,12,28,3,0,0,1,0,0,1,0,12,7,13,1621473970316,red,NA1_3913150660
25975,330,68,27499,26221,271,72,29545,18,6,0,1,0,0,1,0,0,11,10,15,25,5,0,0,1,0,0,1,0,15,17,11,1621649735541,blue,NA1_3915581135
22957,295,76,28055,25547,337,65,30758,31,5,0,0,0,0,0,1,0,4,5,12,25,5,1,0,1,0,0,0,0,12,14,4,1621915459238,blue,NA1_3919438751
28277,318,52,31761,29018,345,83,30811,22,8,0,0,0,0,1,0,0,17,16,13,31,4,0,1,1,0,0,1,0,13,15,17,1621748132156,red,NA1_3917086834
24527,328,92,29075,25531,336,80,29443,17,5,0,1,0,0,0,1,0,9,8,10,28,3,1,0,0,0,0,0,0,10,11,9,1620957201169,red,NA1_3905602833
23539,290,92,29136,29628,362,92,32745,25,3,1,1,0,0,0,1,0,9,6,14,20,2,0,0,0,0,1,0,0,14,16,9,1620614768570,red,NA1_3900500937
24604,259,48,25948,32203,318,112,34649,23,2,0,0,0,0,0,0,0,13,11,20,25,6,0,1,0,0,2,0,0,20,17,13,1621057484253,red,NA1_3907136059
23151,352,76,27887,24664,351,116,30324,31,9,0,0,1,0,1,0,0,5,6,7,25,6,0,0,0,0,0,1,0,7,3,5,1620527356812,red,NA1_3899319948
25680,332,81,28932,22978,254,82,26632,26,9,0,1,0,0,0,0,0,9,11,10,23,5,0,0,1,0,0,0,0,10,12,9,1621656051191,red,NA1_3915617821
25626,304,68,27346,27530,286,92,30269,21,5,0,0,0,0,1,1,0,8,4,18,28,3,1,0,1,0,0,0,0,18,25,8,1621399168827,red,NA1_3912103491
30948,341,95,31495,21074,266,84,24856,28,1,0,1,0,0,3,1,0,14,11,4,21,5,0,0,0,1,0,0,0,4,4,14,1620591262472,blue,NA1_3900076464
25465,277,88,29756,28877,306,88,31521,25,6,1,0,0,0,0,0,0,13,10,16,22,4,0,0,0,0,1,1,0,16,20,13,1621559939324,red,NA1_3914197183
23102,343,80,28260,27201,334,88,29487,24,4,0,0,0,0,0,0,0,6,4,11,28,7,0,0,1,0,1,0,0,11,16,6,1621389444306,blue,NA1_3911882013
24570,286,68,27935,25183,325,84,28766,27,3,0,0,0,0,0,1,0,12,20,11,24,6,0,1,1,0,0,0,0,11,14,12,1621898441624,red,NA1_3919023837
