blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
27267,338,95,29931,25237,301,80,27106,27,11,1,0,0,1,1,1,0,12,13,11,27,6,0,0,0,0,0,0,0,11,13,12,1615828660022,red,NA1_3826809196
30834,318,84,31107,23262,300,70,25141,28,4,0,1,0,0,2,1,0,21,17,8,23,4,0,0,0,1,0,0,0,8,11,21,1616369738144,blue,NA1_3835856858
27355,359,124,31547,25477,318,60,29103,24,4,0,0,0,0,0,0,0,13,11,11,24,4,0,0,0,1,1,1,0,11,8,13,1615866476992,blue,NA1_3827593472
23585,271,78,27602,26920,322,61,30963,19,8,0,0,0,0,0,0,0,11,8,16,32,7,0,0,1,0,1,0,0,16,15,11,1617176006129,red,NA1_3847672403
25133,351,84,27313,27768,339,83,31113,28,6,0,0,0,1,0,1,0,6,6,15,26,13,1,0,0,0,1,0,0,15,23,6,1616784597409,blue,NA1_3841814140
21763,320,92,27906,27421,332,95,32560,21,2,0,0,0,0,0,1,0,4,2,13,23,9,1,0,1,0,0,0,0,13,12,4,1616460267296,red,NA1_3837378765
21800,298,81,26779,28033,344,92,31804,24,1,0,0,0,0,0,0,0,4,1,17,23,8,0,1,1,0,1,0,0,17,19,4,1617843311595,red,NA1_3857822655
23456,291,84,25478,28495,337,89,28360,21,8,0,0,0,0,1,1,0,5,5,15,25,5,0,0,1,1,1,0,0,15,25,5,1618085637032,blue,NA1_3861342687
25599,317,99,28096,27076,318,88,29888,21,4,0,0,0,0,1,1,0,7,3,12,23,4,1,0,0,1,1,0,0,12,13,7,1615774387279,blue,NA1_3826030722
20803,326,68,26292,30673,351,100,33427,16,3,0,0,0,0,0,0,0,2,0,18,27,3,1,0,0,1,2,1,0,18,18,2,1615768725555,red,NA1_3825835442
27796,336,62,28484,25340,301,66,27493,19,5,0,0,0,1,0,0,0,19,23,12,17,3,0,0,0,0,0,0,0,12,10,19,1617172661702,blue,NA1_3847645291
26687,243,64,27768,26952,308,80,28280,23,8,0,0,0,0,1,0,0,15,26,14,25,3,0,0,0,1,2,1,0,14,12,15,1617178135580,red,NA1_3847704010
22971,293,80,27512,30226,364,88,31405,22,8,0,0,0,0,1,0,0,7,7,17,28,5,0,1,0,1,2,1,0,17,23,7,1618184263821,red,NA1_3862847561
24031,295,64,26387,28342,315,75,29984,21,2,0,0,0,0,0,0,0,10,10,19,21,4,0,0,1,1,1,1,0,19,21,10,1616742840923,red,NA1_3841398711
24091,295,68,27639,27438,346,84,29582,18,3,0,1,0,0,0,0,0,9,7,15,23,3,0,0,0,0,0,1,0,15,6,9,1618376269155,red,NA1_3865814091
24533,350,86,28685,26370,327,84,29044,29,8,0,1,0,0,0,0,0,8,6,10,23,7,0,0,0,0,0,1,0,10,7,8,1616113531589,blue,NA1_3831624472
23521,313,96,27762,25919,354,84,29595,25,7,0,0,0,0,0,0,0,7,5,9,21,5,0,0,1,0,0,1,0,9,11,7,1615826728618,red,NA1_3826757317
26053,326,80,30615,24512,304,104,27687,26,4,1,0,0,0,0,0,0,14,14,7,26,4,0,0,1,0,1,1,0,7,7,14,1616442875511,blue,NA1_3837155414
34416,314,88,33478,26574,314,83,28140,18,14,0,1,0,0,2,1,0,25,23,11,33,4,1,0,0,0,1,0,0,11,11,25,1616115303922,blue,NA1_3831830159
25878,261,91,27037,28839,322,80,28885,25,7,0,0,1,0,0,0,0,12,18,15,21,0,1,0,0,0,2,0,0,15,15,12,1616371824888,blue,NA1_3836089838
24000,332,88,28685,26949,342,82,29814,26,7,0,1,0,0,0,1,0,10,6,12,23,9,1,0,0,0,1,0,0,12,12,10,1617841565374,blue,NA1_3857775202
28393,338,68,30800,22802,301,65,28395,23,5,0,1,1,0,1,1,0,15,15,8,21,4,0,0,0,0,0,0,0,8,4,15,1618117552898,blue,NA1_3862023880
23683,327,78,28903,26321,324,84,31360,26,6,0,0,0,0,0,1,0,8,10,12,27,4,0,0,0,1,0,0,0,12,11,8,1615778190855,blue,NA1_3826091501
27449,313,124,33033,25229,352,103,27483,21,3,0,1,0,0,0,0,0,13,21,9,21,3,0,0,0,1,0,1,0,9,11,13,1615788139893,blue,NA1_3826322271
23995,311,72,25771,31665,381,95,34736,26,4,0,0,0,0,1,0,0,6,5,20,18,4,1,1,0,0,3,1,0,20,11,6,1617844718671,red,NA1_3857873475
25732,344,72,27745,26717,307,68,29142,21,9,0,0,0,0,0,1,0,10,14,15,28,4,1,1,0,0,0,0,0,15,24,10,1616725804801,red,NA1_3841152359
24016,274,60,27614,29154,372,92,31910,26,3,1,0,0,0,0,0,0,9,8,16,22,6,0,0,0,1,1,1,0,16,14,9,1615765686550,red,NA1_3825767196
26687,307,62,26685,29568,319,110,31147,24,2,0,0,0,0,1,0,0,12,16,17,19,7,0,0,1,1,0,0,0,17,21,12,1616140335885,red,NA1_3832324783
25543,279,72,25734,29408,278,65,28348,18,4,0,0,0,0,1,0,0,12,9,18,30,2,0,0,0,0,3,1,0,18,20,12,1618046552617,red,NA1_3860893228
24689,366,78,28293,25827,344,94,30562,19,4,0,0,0,1,0,1,0,7,7,11,24,2,0,0,1,0,0,0,0,11,8,7,1616282323163,red,NA1_3834570224
33943,378,81,32997,20209,225,66,23217,14,3,0,1,0,0,6,1,1,18,15,6,9,0,0,0,0,0,0,0,0,6,4,18,1618130024180,blue,NA1_3862283363
28726,390,112,31712,21913,318,76,27664,30,6,1,0,1,0,1,1,0,12,13,5,20,6,0,0,0,0,0,0,0,5,3,12,1618087419264,blue,NA1_3861328252
