blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
23946,344,100,30021,25951,345,100,28808,26,9,0,0,0,1,0,0,0,7,6,6,27,8,0,0,0,0,1,1,0,6,10,7,1611709499361,red,NA1_3761231851
28226,350,100,27968,21535,262,90,24476,21,4,0,1,1,0,2,1,0,10,9,6,30,3,0,0,0,0,0,0,0,6,4,10,1611530238752,blue,NA1_3758086744
27480,314,96,29379,29998,327,97,32142,24,5,0,1,0,0,0,1,0,11,13,16,22,4,1,0,0,0,2,0,0,16,17,11,1611507376466,red,NA1_3757787572
26589,314,68,29861,27721,317,96,30026,28,6,0,0,0,1,0,0,0,15,18,15,25,4,1,0,0,0,1,1,0,15,9,15,1611346721800,red,NA1_3754908640
26376,371,88,30576,25550,392,96,30829,33,13,0,0,1,1,1,1,0,9,7,7,29,7,0,0,0,0,0,0,0,7,8,9,1612294269415,blue,NA1_3770927212
28534,397,76,29850,25795,388,99,28836,32,8,0,0,0,0,1,1,0,11,12,7,28,8,1,0,0,1,1,0,0,7,9,11,1611375439003,blue,NA1_3755427029
24924,348,84,27433,25835,335,103,28779,28,2,0,0,0,0,1,1,0,6,6,9,21,8,0,0,1,1,1,0,0,9,13,6,1611371471322,red,NA1_3755381710
26578,342,84,30240,23893,283,121,29154,24,13,0,0,0,0,0,0,0,11,10,10,27,3,0,0,1,1,0,1,0,10,7,11,1612300911595,blue,NA1_3770998569
31859,344,94,31395,24429,329,72,28235,31,9,0,1,0,0,3,1,0,19,18,11,30,10,0,0,0,1,0,0,0,11,9,19,1611373375150,blue,NA1_3755421041
23151,367,80,29648,24965,374,100,30330,24,10,0,0,0,0,0,0,0,4,6,6,26,4,0,0,0,1,0,0,0,6,6,4,1611419897276,red,NA1_3756089522
24524,330,81,28939,26450,366,87,31112,25,3,1,0,0,1,0,1,0,9,9,11,23,5,0,0,0,0,0,0,0,11,12,9,1611348978509,red,NA1_3754943704
29860,344,91,29496,21352,298,71,23801,20,3,0,1,0,1,1,1,0,16,29,2,21,3,0,0,0,0,0,0,0,2,1,16,1611690884788,blue,NA1_3760983444
27261,334,93,29359,27384,325,78,29438,25,2,1,0,0,0,2,1,0,9,18,11,16,2,0,0,0,1,0,0,0,11,12,9,1612212854825,blue,NA1_3769519429
33391,363,105,30858,21901,325,94,25919,25,4,0,1,0,0,4,1,0,16,18,4,25,2,1,0,0,0,0,0,0,4,5,16,1611682585136,blue,NA1_3760899899
30254,304,63,29230,25617,281,68,27822,19,5,0,0,0,0,2,1,0,17,19,15,23,3,0,0,0,0,0,0,0,15,18,17,1611702940546,red,NA1_3761153473
28932,354,95,32344,27576,343,76,28117,27,3,0,0,1,0,0,0,0,19,24,11,10,7,1,0,0,0,1,1,0,11,11,19,1611430029791,blue,NA1_3756388068
26911,357,92,30461,25321,384,82,29074,33,11,1,0,0,0,0,1,0,13,11,5,27,5,0,0,0,0,1,0,0,5,7,13,1611532639469,blue,NA1_3758149401
26543,279,76,28934,25919,336,82,28534,23,10,1,1,0,0,0,1,0,16,28,8,29,2,0,0,0,0,1,0,0,8,7,16,1612317029414,red,NA1_3771247317
28514,319,52,28799,27043,332,104,29988,32,5,0,1,0,0,0,0,0,19,18,15,22,7,1,0,0,0,0,0,0,15,11,19,1611509518157,red,NA1_3757840774
23506,323,82,28474,27168,352,93,32120,27,4,0,0,0,0,0,0,0,7,9,13,21,9,0,0,0,1,1,0,0,13,11,7,1611630766921,red,NA1_3759954463
25771,324,60,28558,27429,294,81,29105,25,6,0,0,0,0,0,0,0,11,12,16,18,3,1,0,0,1,0,1,0,16,18,11,1611633388668,red,NA1_3760002755
27275,372,86,30459,23836,334,84,29449,28,5,0,0,0,0,1,0,0,10,11,8,22,3,0,1,0,1,0,0,0,8,8,10,1611437511900,red,NA1_3756642090
22306,326,96,27386,32583,354,74,32192,23,1,0,0,0,0,0,0,0,4,5,21,24,4,0,0,1,1,3,1,0,21,32,4,1612322338936,red,NA1_3771413377
30484,342,83,31321,23967,280,84,26722,22,3,0,0,1,0,2,0,0,15,17,7,22,2,0,0,0,0,1,1,0,7,11,15,1612058713285,blue,NA1_3767020986
26812,354,87,32151,21966,317,88,26933,25,6,0,0,0,0,0,0,0,11,9,3,22,5,1,1,0,0,0,0,0,3,3,11,1612272335046,blue,NA1_3770699040
25850,408,100,32487,23680,339,88,29320,27,7,1,0,0,1,0,0,0,7,5,6,22,1,0,0,0,0,0,0,0,6,3,7,1612320466950,blue,NA1_3771356756
23299,354,74,26291,26290,315,98,30535,27,5,0,0,0,1,1,0,0,4,10,9,32,8,1,0,0,0,1,1,0,9,14,4,1612216911766,red,NA1_3769577761
22524,318,71,26325,28244,321,119,32732,22,5,0,0,0,0,0,0,0,4,3,15,25,5,1,0,1,0,1,1,0,15,13,4,1611422117207,red,NA1_3756154046
27322,324,74,28521,26228,358,69,28818,19,10,0,1,0,1,2,1,0,12,19,10,27,5,0,0,0,0,0,0,0,10,13,12,1611573031269,red,NA1_3759157575
24636,303,64,27959,28444,335,92,33199,18,4,0,0,0,0,1,1,0,10,9,15,23,5,1,0,0,0,1,0,0,15,14,10,1611385882910,red,NA1_3755705734
29085,350,112,32140,24836,336,88,27338,34,5,0,0,1,1,1,1,0,15,19,9,26,8,0,0,0,0,0,0,0,9,8,15,1611380885296,blue,NA1_3755598610
28493,381,79,30087,23308,369,92,28768,22,7,1,0,0,1,2,1,0,10,10,6,26,2,0,0,0,0,0,0,0,6,4,10,1611697361950,blue,NA1_3761033951
30427,369,102,33954,24232,303,65,27408,28,8,0,0,1,0,1,1,0,17,12,11,29,5,0,0,0,1,0,0,0,11,18,17,1611362199266,blue,NA1_3755144105
28081,359,96,32469,24511,307,70,26063,27,5,1,0,1,0,0,0,0,13,10,8,22,5,0,0,0,0,1,1,0,8,13,13,1611689579358,blue,NA1_3760950798
24041,321,76,28314,25145,366,74,29980,28,4,0,0,1,0,0,0,0,7,6,11,21,3,0,1,0,0,0,1,0,11,7,7,1611625827268,blue,NA1_3759825408
28630,326,80,28288,27966,340,92,29261,26,8,0,0,1,0,1,1,0,12,14,15,30,6,1,0,0,0,0,0,0,15,20,12,1612027914603,red,NA1_3766492677
24801,361,88,30821,23421,323,108,29018,24,8,0,0,0,0,0,0,0,7,8,2,24,5,0,0,1,0,0,1,0,2,6,7,1611695021089,blue,NA1_3760959639
22705,323,67,27643,28678,346,77,31123,26,7,0,0,0,0,0,0,0,7,3,17,24,5,0,0,1,1,0,0,0,17,22,7,1611351059727,red,NA1_3754978100
24977,330,87,27320,25340,352,64,28831,24,9,0,0,0,1,0,1,0,10,18,9,26,5,1,0,0,0,1,0,0,9,9,10,1612234338443,red,NA1_3769930906
28127,375,91,32204,24327,365,78,28080,32,10,0,0,1,1,0,0,0,16,26,7,29,5,0,0,0,0,0,1,0,7,13,16,1611684780976,red,NA1_3760932005
22929,296,68,24403,32877,375,83,32686,26,3,0,0,0,0,0,0,0,8,9,22,25,2,0,0,0,0,2,1,0,22,31,8,1612315245567,red,NA1_3771271583
23075,299,82,27000,29572,373,83,31660,20,6,0,1,0,0,0,0,0,5,5,14,28,6,1,0,0,0,2,1,0,14,18,5,1611883088350,red,NA1_3763869250
27277,310,111,29067,26414,331,68,27975,28,1,0,1,0,0,3,1,0,8,9,13,23,11,0,0,1,0,1,0,0,13,18,8,1611969371630,red,NA1_3765339447
22867,256,83,28600,33174,384,87,33720,23,3,0,0,0,1,0,0,0,11,6,24,22,4,0,1,0,0,2,1,0,24,17,11,1611543225991,red,NA1_3758693363
