blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
29378,321,86,29191,31977,341,82,30682,22,5,0,0,0,0,0,0,0,18,25,17,21,2,0,1,0,1,3,0,0,17,20,18,1636906161035,red,NA1_4103245629
22683,319,92,28008,25025,358,91,29102,22,7,0,1,0,0,0,0,0,4,7,9,27,6,0,0,0,1,0,0,0,9,11,4,1636690592702,red,NA1_4100420501
26020,333,87,30461,28704,350,87,32157,27,5,0,0,0,0,0,0,0,11,12,14,28,4,0,1,0,1,1,1,0,14,11,11,1636752227931,red,NA1_4101034253
