blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
21814,294,64,26881,24544,312,68,28754,24,9,0,1,0,0,0,0,0,5,6,11,32,4,0,0,1,0,0,1,0,11,12,5,1630382905977,blue,NA1_4028107416
23956,292,54,27334,26571,249,55,27577,22,1,0,0,0,0,1,0,0,12,6,16,32,5,0,0,1,1,0,0,0,16,12,12,1628577930185,blue,NA1_4006336876
21835,314,62,27982,19904,281,61,24268,24,3,0,0,0,1,0,0,0,7,6,2,24,1,0,0,0,0,0,1,0,2,2,7,1627124353477,blue,NA1_3987871762
26078,288,76,29538,22218,291,68,26449,19,2,0,0,0,1,0,0,0,15,14,5,18,3,0,1,0,0,0,1,0,5,7,15,1629006576702,blue,NA1_4011477104
26511,254,75,28943,22483,245,72,24496,16,6,1,0,1,0,0,0,0,16,14,8,21,3,0,0,0,0,0,1,0,8,8,16,1630737055479,blue,NA1_4031869843
27215,238,91,28545,28031,249,80,29825,17,3,0,0,0,0,0,0,0,15,11,18,20,1,0,0,0,1,1,1,0,18,9,15,1629106700579,red,NA1_4012890414
22696,315,100,26837,23009,325,84,29209,23,4,0,0,0,0,0,0,0,4,3,4,26,5,0,1,0,0,0,0,0,4,4,4,1631838517361,red,NA1_4044179081
22725,315,68,29151,21775,287,68,28506,22,6,0,1,0,0,0,1,0,5,9,8,26,7,0,0,0,0,0,0,0,8,8,5,1628843364049,red,NA1_4009420343
22215,351,80,29258,24003,350,88,29881,22,4,0,1,0,0,0,0,0,4,7,7,20,2,0,0,0,1,0,1,0,7,6,4,1630546901316,red,NA1_4029781438
24759,273,69,25113,21090,254,70,24389,25,4,0,0,0,0,2,1,0,9,17,7,18,4,0,0,0,1,0,0,0,7,7,9,1628665713360,blue,NA1_4007254030
25465,300,76,29818,24283,334,88,28534,15,4,0,0,0,0,1,0,0,8,3,7,21,3,0,0,0,1,0,1,0,7,7,8,1629166400242,blue,NA1_4013500220
23027,220,56,25645,30444,327,76,32387,21,1,0,0,0,0,0,0,0,11,6,22,22,1,1,0,0,1,2,0,0,22,25,11,1629114233749,red,NA1_4012896359
21809,267,56,28636,24282,321,96,29886,21,4,0,0,0,0,0,0,0,5,6,9,19,3,0,1,0,1,0,1,0,9,8,5,1629102404344,blue,NA1_4012724324
25547,294,72,29389,25279,238,76,25446,18,8,0,0,0,0,1,1,0,12,4,13,21,5,1,0,0,1,1,0,0,13,14,12,1628057432977,blue,NA1_3999848793
25027,272,75,26550,27234,254,100,27729,26,1,0,0,0,0,0,0,0,9,6,16,16,3,1,0,0,1,2,1,0,16,19,9,1631119582502,red,NA1_4036218390
26711,256,71,26746,24017,281,72,26139,21,4,0,0,0,1,0,1,0,12,21,11,26,6,1,0,0,0,0,0,0,11,15,12,1629264601778,blue,NA1_4014672899
22900,259,80,27164,24253,255,61,29294,21,2,0,1,0,1,0,1,0,8,6,13,20,3,0,0,0,0,0,0,0,13,11,8,1627795340633,red,NA1_3996413119
29103,287,84,31168,22177,286,80,28260,27,5,1,0,0,0,3,1,0,16,14,6,21,7,0,1,0,0,0,0,0,6,3,16,1630873622561,blue,NA1_4033417439
23527,279,76,26607,24847,240,68,27348,23,3,0,0,1,1,0,0,0,8,13,13,17,1,0,0,0,0,1,1,0,13,12,8,1628224808846,red,NA1_4001825362
28347,276,90,30988,21198,230,74,26018,19,4,0,0,1,0,2,0,0,16,4,7,19,3,0,0,0,0,0,0,0,7,4,16,1630875551189,blue,NA1_4033481158
24507,276,104,28582,24625,311,72,30155,24,7,0,1,0,0,0,0,0,8,8,9,24,4,0,0,0,0,1,0,0,9,7,8,1628839084640,red,NA1_4009394320
19955,302,76,26199,27142,289,112,31983,22,7,0,0,0,0,0,0,0,1,0,21,19,9,0,0,1,1,0,1,0,21,16,1,1631420553238,red,NA1_4039946836
21418,242,82,25281,24808,285,78,28576,22,2,0,0,0,1,0,0,0,7,12,13,25,3,1,0,0,0,1,1,0,13,7,7,1630732668779,red,NA1_4031761248
32857,278,74,29095,26587,293,72,28577,19,5,0,1,0,0,3,1,0,20,25,14,18,5,0,0,1,0,0,0,0,14,17,20,1631418417140,blue,NA1_4039932467
28076,308,77,31576,20210,222,66,25595,25,3,0,0,0,1,1,0,0,17,13,8,17,4,0,0,0,0,0,1,0,8,7,17,1628059385513,blue,NA1_3999953546
28349,327,87,30056,22408,241,65,25229,23,5,0,0,1,0,2,0,0,15,16,6,18,4,0,1,0,0,1,1,0,6,4,15,1627119901082,blue,NA1_3987807581
22126,250,76,27299,26332,315,72,31623,19,4,0,0,0,1,0,0,0,8,9,16,20,5,0,1,0,0,0,0,0,16,16,8,1628841082167,red,NA1_4009367570
23019,261,40,25687,26769,270,56,28473,18,4,0,0,0,0,1,0,0,9,9,15,30,5,0,0,0,1,0,0,0,15,15,9,1628571988513,red,NA1_4006263459
26309,332,80,29944,21351,293,72,27366,26,3,0,0,1,0,3,1,0,10,7,5,19,4,0,1,0,0,0,0,0,5,1,10,1628582516203,blue,NA1_4006365943
