blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26302,382,84,29615,24106,318,73,25176,29,5,1,0,0,0,1,0,0,9,14,6,23,4,0,0,0,1,1,1,0,6,10,9,1613873945463,blue,NA1_3796515624
30753,309,63,28411,27553,286,81,28998,25,2,0,0,0,0,2,1,0,17,26,20,22,6,1,0,0,1,0,0,0,20,12,17,1614506893222,red,NA1_3806345343
30975,309,121,30131,24477,306,76,26289,31,5,0,0,0,0,3,1,0,14,22,12,20,7,1,0,0,1,0,0,0,12,12,14,1613977788499,blue,NA1_3798377155
24185,328,100,28522,25162,336,104,30907,22,7,0,0,0,1,0,0,0,6,6,10,26,4,0,0,1,0,0,0,0,10,9,6,1614635338026,blue,NA1_3807798855
30612,330,90,31530,25676,341,77,28037,29,2,1,0,0,1,2,1,0,18,10,9,19,1,0,0,0,0,1,0,0,9,8,18,1614401616725,blue,NA1_3804518990
31870,374,108,31262,20321,272,48,22906,25,2,1,1,0,0,4,1,0,16,15,5,9,2,0,0,0,0,0,0,0,5,5,16,1614496175006,blue,NA1_3806175831
27110,281,85,28388,25073,280,99,27261,27,4,1,0,1,0,1,0,0,14,16,11,16,3,0,0,0,0,0,1,0,11,10,14,1614350612401,red,NA1_3803817184
23221,247,62,26404,27289,285,72,27982,18,5,0,0,0,0,0,0,0,8,6,14,23,2,1,0,0,1,1,1,0,14,18,8,1614508484743,red,NA1_3806367809
24976,332,85,28946,24931,380,91,29470,28,6,0,0,1,0,0,0,0,10,13,9,25,11,0,0,0,1,0,0,0,9,7,10,1614639762182,blue,NA1_3807978041
24516,320,102,29605,26803,399,94,31377,25,6,0,0,1,0,0,0,0,8,8,10,22,7,0,0,0,1,1,0,0,10,5,8,1614423168054,red,NA1_3804859187
25008,319,107,28565,23948,294,92,28610,26,4,1,0,0,0,0,1,0,10,13,10,26,4,0,1,0,0,0,0,0,10,10,10,1614327072506,blue,NA1_3803642008
26474,329,76,28967,22997,325,76,27277,17,3,0,0,1,0,1,1,0,10,9,8,18,5,0,0,0,1,0,0,0,8,8,10,1614336309908,blue,NA1_3803744858
23623,328,92,28704,27479,342,99,31492,19,7,0,0,0,0,0,0,0,5,5,14,28,2,0,1,0,1,0,1,0,14,11,5,1614042040009,red,NA1_3798988133
28149,366,108,29461,27650,349,79,29749,28,7,0,1,1,0,1,1,0,10,5,11,23,5,0,0,0,0,1,0,0,11,17,10,1613897563164,red,NA1_3797007607
27714,372,95,30389,21160,341,84,26731,21,3,0,0,1,1,2,1,0,8,6,2,25,3,0,0,0,0,0,0,0,2,3,8,1614576905951,blue,NA1_3807269240
20904,313,79,26198,28210,347,89,32385,24,4,0,0,0,0,0,0,0,4,3,17,25,11,0,0,1,0,0,0,0,17,16,4,1614039980711,red,NA1_3799033937
27483,303,84,30804,25749,295,70,27927,27,4,0,1,0,0,0,0,0,13,20,11,18,7,0,0,1,0,1,1,0,11,12,13,1614518500858,blue,NA1_3806377329
23408,336,72,27669,23360,345,68,29355,25,3,0,0,0,0,0,1,0,6,6,7,23,6,0,0,0,1,0,0,0,7,5,6,1614520605521,blue,NA1_3806389324
