blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
28445,295,84,27620,26999,335,78,28643,28,5,0,0,0,0,2,1,0,14,17,10,20,9,1,0,1,0,1,0,0,10,9,14,1627237290286,red,NA1_3989288683
27186,352,88,31470,26722,367,80,31165,29,5,0,0,0,0,0,1,0,15,17,12,24,8,0,1,0,0,0,0,0,12,9,15,1621895912893,red,NA1_3919010128
26397,315,66,26797,26617,356,100,29967,25,6,0,0,0,1,1,1,0,12,17,10,26,11,0,1,0,0,1,0,0,10,12,12,1622391876406,blue,NA1_3926049689
25599,339,73,29708,29036,317,102,32935,21,7,0,0,0,0,1,1,0,9,6,15,34,5,1,0,1,0,0,0,0,15,26,9,1623717784206,red,NA1_3943886365
25590,304,68,26549,32085,327,106,33256,25,2,0,1,0,1,1,0,0,9,6,20,25,5,0,0,0,0,1,1,0,20,20,9,1621889517730,red,NA1_3918719270
28086,382,68,31021,24019,299,84,28475,22,9,0,0,0,1,0,0,0,15,11,10,26,5,1,0,0,0,0,0,0,10,11,15,1626995235609,red,NA1_3985923506
27407,368,76,32189,23218,331,70,27593,36,8,1,0,0,1,0,0,0,13,17,7,24,9,0,0,0,0,0,1,0,7,7,13,1623525863967,blue,NA1_3941465251
25742,308,72,28181,26465,355,49,29453,23,1,0,0,0,0,0,1,0,11,14,14,20,3,0,0,1,0,0,0,0,14,15,11,1621893900862,red,NA1_3918933652
24816,321,80,28206,24034,307,95,28647,25,8,0,0,1,0,0,0,0,10,9,10,24,5,1,0,0,0,0,0,0,10,9,10,1621376487019,blue,NA1_3911662836
24434,268,83,27457,28501,323,72,28659,22,7,0,0,0,0,0,0,0,11,12,14,25,8,0,1,0,1,2,1,0,14,17,11,1626036327418,red,NA1_3973903389
30911,351,82,31784,23387,298,82,27612,24,6,0,0,1,0,2,1,0,17,22,7,22,3,1,0,0,0,0,0,0,7,9,17,1622077168596,blue,NA1_3921571907
24620,328,68,26582,23448,314,71,28739,23,9,0,0,1,1,1,0,0,7,7,8,26,5,0,0,0,0,0,0,0,8,14,7,1622396795233,blue,NA1_3926146106
25442,357,76,28115,23594,298,84,26643,26,9,0,0,1,0,0,0,0,11,10,10,20,8,0,0,0,1,0,1,0,10,14,11,1624215232172,blue,NA1_3950326993
27537,337,68,32219,26992,318,96,30687,26,7,0,0,0,0,1,1,0,14,8,11,27,3,0,1,0,1,2,0,0,11,5,14,1622304637214,blue,NA1_3924750819
30241,325,88,32629,24413,325,59,27332,31,5,0,0,0,1,2,1,0,20,17,9,20,9,0,0,0,0,0,0,0,9,9,20,1620944877771,blue,NA1_3905366038
26457,303,93,27765,25060,293,73,30020,23,5,0,1,0,1,0,1,0,13,8,10,18,2,0,0,0,0,0,0,0,10,11,13,1625953305056,red,NA1_3972711602
23482,268,80,26957,30895,365,74,31775,22,0,0,0,0,0,0,0,0,8,9,20,20,4,0,0,1,1,1,0,0,20,16,8,1621891000478,red,NA1_3918911203
24997,305,71,27906,28804,277,82,30546,23,7,0,0,1,0,0,0,0,12,12,17,26,5,0,0,0,0,1,1,0,17,22,12,1622999991229,red,NA1_3934409894
28908,296,80,30277,22437,278,104,25042,22,6,1,0,0,0,1,1,0,18,28,5,33,4,0,0,0,1,0,0,0,5,5,18,1626541950106,blue,NA1_3980105963
31075,287,88,30691,27441,339,87,28838,22,3,0,1,0,0,1,1,0,20,24,13,28,11,1,0,0,0,0,0,0,13,14,20,1622322526637,blue,NA1_3924932831
28713,304,89,30572,23882,309,78,27272,20,1,0,0,1,0,1,1,0,17,19,8,26,3,0,0,0,0,0,0,0,8,11,17,1620692515791,blue,NA1_3901678374
25119,331,60,26877,28400,336,84,30134,25,6,0,0,0,0,1,1,0,10,10,15,26,5,0,1,0,1,0,0,0,15,9,10,1622683435323,red,NA1_3930351706
26134,326,71,29694,25994,346,70,29653,24,4,0,0,0,1,1,1,0,10,13,11,27,9,1,0,0,0,1,0,0,11,10,10,1622301011252,red,NA1_3924676402
28782,310,77,31646,26007,341,81,28132,26,9,0,0,0,0,2,0,0,15,13,13,28,6,0,1,1,0,0,1,0,13,19,15,1626638829852,blue,NA1_3981280235
25479,357,62,29463,26038,357,88,28936,22,5,0,0,1,0,0,0,0,11,9,9,23,7,1,0,0,0,1,1,0,9,7,11,1624221747717,blue,NA1_3950455382
26722,368,64,30104,26073,340,94,30171,20,7,0,1,0,0,0,0,0,13,20,11,27,3,0,0,0,1,1,0,0,11,9,13,1621380181904,red,NA1_3911690823
20541,262,62,23210,29355,335,86,29162,24,7,0,0,0,0,0,0,0,4,5,18,27,5,0,0,1,1,1,1,0,18,21,4,1621897769983,red,NA1_3919033833
27248,314,111,31320,23617,333,55,28313,20,2,0,0,1,0,0,1,0,13,12,7,19,3,0,0,0,0,0,0,0,7,6,13,1620779586241,blue,NA1_3902782419
