,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
83,22905,307,68,28987,28831,326,96,31397,21,8,0,0,0,0,0,0,0,8,4,14,24,4,1,1,0,0,2,1,0,14,8,8,1634173236374,red,NA1_4070388282
84,29213,421,80,31051,23055,301,91,25988,30,2,0,0,1,1,2,0,0,13,13,4,24,2,0,0,0,0,0,1,0,4,5,13,1636068297135,blue,NA1_4091496704
85,29445,321,89,30217,24911,321,82,28485,29,7,0,0,0,0,2,1,0,15,21,7,25,4,0,0,1,0,0,0,0,7,10,15,1633042188372,blue,NA1_4057902341
86,23687,329,69,28588,30017,325,90,32584,21,4,0,0,0,0,0,0,0,7,6,18,18,5,1,1,0,0,2,1,0,18,21,7,1632798392796,red,NA1_4055267148
87,23779,276,59,27963,29988,314,84,30746,24,6,1,0,0,0,0,0,0,13,8,16,20,7,0,0,0,0,2,1,0,16,12,13,1636071951833,red,NA1_4091546082
88,26059,283,79,30030,26963,323,84,30301,20,7,0,0,0,0,0,0,0,14,15,14,30,2,0,0,0,1,1,1,0,14,17,14,1633037276966,red,NA1_4057853148
89,24375,320,72,28829,29329,291,100,31472,28,5,0,1,1,0,0,0,0,12,5,17,28,11,0,0,0,0,1,1,0,17,17,12,1634091494630,blue,NA1_4069686907
90,31150,333,88,32901,25687,307,72,27611,25,5,1,1,0,0,2,1,0,21,20,9,25,3,0,0,0,0,0,0,0,9,9,21,1633324120818,blue,NA1_4061258354
91,30891,393,91,31903,23090,269,89,27579,27,11,0,0,0,1,2,1,0,14,15,7,28,2,0,0,0,0,0,0,0,7,13,14,1636337918608,blue,NA1_4095351404
92,28128,282,92,31362,27329,314,96,30934,23,3,0,0,0,0,2,1,0,12,20,13,25,3,0,1,0,1,0,0,0,13,15,12,1635915329411,red,NA1_4089439510
93,24557,330,85,27912,24022,333,68,27224,21,5,0,1,0,0,0,0,0,9,10,9,23,4,0,0,0,1,0,0,0,9,12,9,1632851750834,blue,NA1_4055763500
94,27479,313,57,29882,28841,313,80,30855,22,7,1,0,0,0,1,0,0,17,19,16,27,6,0,1,0,0,0,1,0,16,26,17,1634235081351,red,NA1_4070992410
95,23086,310,86,27644,29859,376,94,31967,20,5,0,0,0,0,0,0,0,7,7,18,22,5,1,0,0,1,0,1,0,18,15,7,1633645292684,red,NA1_4064665698
96,29313,332,93,31899,25483,353,76,30161,27,11,1,0,1,0,3,1,0,14,14,9,31,5,0,0,0,0,1,0,0,9,11,14,1633034880660,blue,NA1_4057809121
97,29949,310,99,31274,25634,306,84,28434,23,10,1,0,0,0,0,1,0,19,20,11,23,5,0,0,0,1,1,0,0,11,12,19,1632625860574,red,NA1_4053107521
98,26862,307,85,29233,23215,313,84,26824,28,6,0,0,1,0,1,0,0,12,18,8,23,5,0,0,0,0,0,0,0,8,13,12,1626236741839,blue,NA1_3976553149
99,26922,299,98,30388,30675,366,80,32724,22,1,1,0,0,0,0,1,0,13,9,18,24,6,0,0,0,1,1,0,0,18,18,13,1632014649213,blue,NA1_4046211068
100,21411,276,65,25091,29326,320,88,30596,27,10,0,0,0,0,0,0,0,5,6,18,28,6,1,0,0,0,1,1,0,18,20,5,1631905553433,red,NA1_4045084324
101,24678,345,64,28745,25141,357,96,31187,24,5,0,0,1,1,1,1,0,7,5,10,21,4,0,0,0,0,0,0,0,10,8,7,1630301019933,blue,NA1_4027098866
102,25231,353,76,30054,25375,368,88,29242,25,10,0,0,0,0,0,1,0,9,7,8,28,6,0,1,0,0,0,0,0,8,5,9,1632082166765,red,NA1_4046833657
103,30948,358,80,30569,27625,277,80,28009,25,5,1,0,0,0,1,0,0,19,22,17,27,5,0,0,0,0,0,0,0,17,28,19,1628577847745,red,NA1_4006344893
104,24224,239,69,25057,30383,291,99,29897,19,0,0,0,0,0,0,0,0,13,10,21,17,3,1,0,0,1,1,1,0,21,13,13,1629096525652,red,NA1_4012547668
105,27670,279,79,27768,26672,293,84,27251,31,8,0,0,0,1,0,0,0,18,21,12,25,7,0,0,0,0,1,1,0,12,7,18,1631577383856,red,NA1_4041476157
106,25731,245,71,27712,33149,314,68,32256,26,5,0,0,0,0,0,0,0,15,15,26,26,7,1,1,0,0,2,1,0,26,28,15,1626234627236,red,NA1_3976498382
107,29363,341,75,31053,26216,305,76,30173,26,4,0,0,0,1,2,1,0,15,14,12,24,4,1,0,0,0,0,0,0,12,18,15,1631517222765,red,NA1_4041053343
108,26615,345,74,29668,24914,314,74,29143,22,6,0,1,0,0,0,0,0,11,11,8,17,4,0,0,0,0,0,1,0,8,8,11,1630563574800,blue,NA1_4030191515
109,25939,263,82,28663,28617,347,71,28054,22,5,0,0,0,1,0,0,0,15,21,14,18,4,0,0,1,0,1,0,0,14,15,15,1631489720483,blue,NA1_4040643388
110,24172,322,84,27644,28368,374,92,31009,28,6,0,1,0,0,0,0,0,9,7,11,26,10,0,0,1,0,1,0,0,11,16,9,1631936647349,red,NA1_4045437684
111,23361,261,60,25262,27038,286,104,28465,32,3,0,0,0,0,0,0,0,10,7,15,19,7,0,0,0,1,1,1,0,15,6,10,1631514263717,red,NA1_4041028926
112,27912,346,104,31082,24723,289,71,28523,21,6,1,0,1,0,1,0,0,15,17,8,21,2,0,0,0,0,1,1,0,8,4,15,1632460459483,blue,NA1_4051059029
113,30223,336,112,31466,23730,287,56,28875,25,7,1,0,0,0,3,1,0,13,9,9,26,3,0,0,0,0,0,0,0,9,4,13,1630737586812,blue,NA1_4031823025
114,26386,332,74,28879,23407,309,88,25250,23,4,1,0,0,0,1,0,0,11,14,9,29,6,0,0,0,1,0,0,0,9,10,11,1630537235690,blue,NA1_4029464570
115,24471,393,88,29772,25164,346,79,28933,30,5,0,0,0,0,0,0,0,7,6,10,16,9,1,0,1,0,0,1,0,10,8,7,1631467772077,red,NA1_4040385258
116,26520,288,59,27043,33849,312,109,32369,22,2,0,0,0,0,0,1,0,12,14,24,22,2,0,0,1,0,2,0,0,24,22,12,1627104469907,red,NA1_3987638434
117,21145,287,72,25843,30163,276,101,29419,30,4,0,0,0,0,0,0,0,5,3,16,19,1,1,0,1,0,2,1,0,16,25,5,1631470196703,red,NA1_4040449810
118,22388,323,86,26382,25900,336,84,29281,20,6,0,1,0,0,0,0,0,4,4,11,22,7,0,0,0,0,1,1,0,11,11,4,1628657160716,red,NA1_4007088914
119,30946,348,81,32606,25894,309,64,28747,26,8,0,0,0,0,2,1,0,16,14,11,28,4,0,0,1,0,0,0,0,11,18,16,1630539290888,blue,NA1_4029487745
120,29567,372,112,31720,27245,313,62,30588,33,6,1,0,0,0,2,1,0,12,8,12,24,6,0,0,0,0,0,0,0,12,14,12,1630607590056,red,NA1_4030449956
121,26617,295,68,29175,26113,289,84,30171,33,6,0,0,0,0,0,0,0,14,17,14,28,4,0,0,0,1,0,0,0,14,14,14,1631907980236,red,NA1_4045057703
122,27348,303,80,29752,23232,312,72,26263,25,11,1,0,0,1,2,0,0,14,17,6,27,6,0,0,0,0,0,0,0,6,5,14,1631504538256,blue,NA1_4040869298
123,33203,390,103,32878,23186,314,68,26192,21,5,1,1,0,0,2,0,0,19,16,6,25,5,0,0,0,0,1,1,0,6,4,19,1632079973933,blue,NA1_4046810731
124,25143,299,81,28508,27721,326,82,30366,22,4,0,1,0,0,0,1,0,10,7,16,17,4,0,0,0,1,1,0,0,16,10,10,1626911177970,red,NA1_3984935051
125,30001,262,92,31341,23121,280,67,26628,26,3,0,1,0,0,1,1,0,25,22,6,25,5,0,0,0,0,0,0,0,6,8,25,1629417411939,blue,NA1_4016478607
126,29661,314,103,29441,27222,296,67,29466,22,3,0,1,0,0,3,1,0,16,14,14,23,6,0,0,0,1,1,0,0,14,13,16,1629432728536,red,NA1_4016743554
127,25286,310,72,27980,28513,381,92,33214,25,8,0,0,0,0,0,0,0,11,14,13,22,6,0,0,0,1,2,1,0,13,7,11,1628922314008,red,NA1_4010553268
128,29261,344,104,31442,23804,291,64,28040,26,4,0,1,0,1,1,1,0,13,9,10,25,3,0,0,0,0,0,0,0,10,15,13,1631491824636,blue,NA1_4040648172
129,24784,377,77,28422,24576,331,61,29702,21,8,0,0,0,0,0,1,0,7,9,10,29,5,1,0,0,0,0,0,0,10,10,7,1631472249490,blue,NA1_4040471583
130,20799,306,80,26560,28352,315,103,30167,28,6,0,0,0,0,0,0,0,1,1,14,32,7,1,1,0,0,0,1,0,14,18,1,1629272713978,red,NA1_4014759166
131,26789,308,76,27847,31254,382,100,31769,25,3,0,1,0,0,0,0,0,13,12,18,25,2,0,0,0,1,1,0,0,18,23,13,1628919103613,red,NA1_4010496368
132,27754,308,80,27910,28850,303,84,29393,22,7,0,1,0,0,1,1,0,13,16,15,20,2,0,0,0,0,1,0,0,15,18,13,1629436772159,blue,NA1_4016793562
133,28779,319,60,29520,29164,321,82,30380,17,1,0,0,0,0,1,1,0,18,18,17,23,2,1,1,0,0,0,0,0,17,26,18,1626755022564,blue,NA1_3982872248
134,22975,350,69,25839,27461,321,82,30278,19,4,0,1,0,0,0,0,0,4,4,14,24,3,0,0,0,1,1,1,0,14,15,4,1629869122043,blue,NA1_4022079109
135,29859,302,80,30836,26237,299,76,27033,21,8,0,0,1,0,0,0,0,22,36,13,29,4,1,0,0,0,0,0,0,13,12,22,1631502659788,blue,NA1_4040844903
