,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
300,23834,281,84,28806,25605,297,88,28861,25,4,0,0,0,0,0,0,0,11,8,8,22,1,0,1,0,1,1,0,0,8,8,11,1616129907336,red,NA1_3832134628
301,25346,252,59,28731,27447,328,67,28050,17,10,0,0,0,0,0,0,0,14,14,13,29,3,0,1,0,0,1,0,0,13,16,14,1615570668111,red,NA1_3822287992
302,22867,326,98,25882,23489,335,92,27445,22,4,0,0,0,1,0,0,0,4,7,6,23,5,1,0,0,0,0,0,0,6,13,4,1614357520850,blue,NA1_3803904343
303,22758,264,56,25952,29774,374,88,33061,23,4,0,0,0,0,0,0,0,7,8,21,21,4,0,0,1,1,1,1,0,21,12,7,1615222871635,blue,NA1_3816915501
304,23840,305,64,26041,27112,313,80,28292,21,1,1,0,0,0,0,0,0,9,12,15,18,4,0,0,1,0,1,1,0,15,23,9,1616210798790,red,NA1_3833265558
305,27883,393,79,30494,23598,330,73,27980,26,6,1,0,1,0,1,1,0,12,14,8,24,8,0,0,0,0,0,0,0,8,11,12,1615421746958,blue,NA1_3819819791
306,28636,332,111,30492,29155,285,88,29557,28,6,0,0,0,0,0,0,0,15,10,17,30,7,1,1,0,0,1,1,0,17,18,15,1613520436367,red,NA1_3790797634
307,29745,301,73,29082,24785,233,44,22578,24,5,1,0,0,0,0,0,0,24,21,12,27,5,0,0,0,0,0,0,0,12,13,24,1616192603499,blue,NA1_3832931698
308,29682,284,83,28754,28125,283,90,29682,28,4,1,0,1,0,2,1,0,19,14,17,20,4,0,0,0,0,0,0,0,17,22,19,1615158188654,red,NA1_3815753672
309,24112,289,96,26594,26364,297,74,26836,21,2,0,0,1,0,0,1,0,12,17,9,20,3,0,1,0,0,1,0,0,9,10,12,1613513604801,red,NA1_3790654788
310,28929,324,60,27490,23828,310,87,25732,31,2,0,1,0,1,2,0,0,20,20,10,23,6,0,0,0,0,0,0,0,10,13,20,1614360117420,blue,NA1_3803918872
311,28398,268,76,28267,26021,255,32,24576,23,2,1,0,1,0,1,0,0,16,20,19,20,2,0,0,0,0,1,0,0,19,17,16,1616048666344,blue,NA1_3830723185
312,31408,369,114,31191,21723,260,68,23573,26,6,1,0,0,0,2,1,0,19,21,8,23,3,0,0,0,0,0,0,0,8,9,19,1615494504915,blue,NA1_3821169947
313,24800,334,56,28404,26320,314,84,30476,22,5,0,0,0,0,1,1,0,9,5,14,29,6,1,0,0,1,0,0,0,14,19,9,1616270038370,red,NA1_3834328128
314,25586,324,76,27668,25170,288,92,27814,28,5,0,0,0,1,0,0,0,11,19,11,22,3,0,1,0,0,1,1,0,11,9,11,1613596493397,blue,NA1_3792018808
315,29554,299,80,29810,25710,282,76,27996,30,3,1,0,0,1,2,1,0,18,26,14,30,9,0,0,0,0,0,0,0,14,12,18,1615181222802,blue,NA1_3816260562
316,28116,267,72,26334,29817,273,84,30970,18,2,0,0,0,0,2,1,0,14,17,22,22,7,0,0,1,0,1,0,0,22,30,14,1614573576831,red,NA1_3807157635
317,28781,309,49,30055,24112,249,88,28936,18,4,0,0,0,1,2,1,0,21,18,12,26,3,0,0,0,0,0,0,0,12,11,21,1616046568714,blue,NA1_3830618412
318,23289,288,68,26135,25501,296,99,29579,24,5,0,0,0,0,0,1,0,10,10,11,25,3,1,0,1,0,0,0,0,11,20,10,1615853059429,red,NA1_3827234160
