blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25001,268,88,31042,25365,297,77,29669,15,0,0,0,0,0,0,0,0,15,7,13,23,1,0,0,1,1,0,0,0,13,8,15,1618035820790,red,NA1_3860770589
28031,339,118,32379,27333,318,96,29186,28,10,0,0,0,0,0,0,0,15,15,13,27,7,1,1,0,0,0,1,0,13,12,15,1618137747040,red,NA1_3862314395
27080,276,64,27697,24227,313,93,25365,28,8,0,0,0,0,1,0,0,15,24,7,24,7,0,1,0,0,1,1,0,7,5,15,1618464948323,blue,NA1_3867284449
24425,321,86,26468,25730,254,76,27435,23,4,0,0,0,0,0,1,0,9,12,14,20,8,0,1,0,0,0,0,0,14,27,9,1618798993282,red,NA1_3872563095
27948,340,80,29194,24631,293,80,27986,21,3,1,0,0,0,2,0,0,16,16,9,23,3,0,1,0,0,1,0,0,9,5,16,1618651192709,red,NA1_3870277475
22667,303,75,25037,27300,311,75,30566,19,3,0,0,1,0,0,1,0,6,4,16,21,6,1,0,0,0,0,0,0,16,14,6,1618230827998,red,NA1_3863671349
23467,341,85,26918,25900,359,107,28242,27,10,0,0,1,0,0,0,0,5,4,6,30,6,0,1,0,0,1,1,0,6,3,5,1618685231100,blue,NA1_3870559232
26800,346,74,25618,26016,314,85,29347,26,5,0,0,0,0,1,0,0,11,15,12,25,4,0,0,0,1,0,0,0,12,19,11,1618147673827,blue,NA1_3862382773
26920,318,121,30108,29656,345,80,30627,26,8,0,0,0,0,0,0,0,8,9,17,28,10,1,1,0,0,1,1,0,17,18,8,1618557896445,red,NA1_3868823288
25519,345,92,28753,27243,341,103,29414,15,6,0,0,0,1,1,0,0,9,9,12,23,2,0,0,1,0,0,1,0,12,13,9,1618577870421,blue,NA1_3869115386
29549,374,89,32364,23819,311,103,26763,26,5,0,0,0,0,2,1,0,14,13,6,21,4,0,0,1,1,0,0,0,6,6,14,1618844362583,blue,NA1_3873292466
27814,236,88,28515,31353,357,52,30421,21,5,0,0,0,0,0,0,0,18,22,22,22,8,0,0,0,1,1,0,0,22,22,18,1618293507593,red,NA1_3864668487
27061,368,78,30739,27386,366,82,29678,20,6,0,0,0,0,0,0,0,12,13,12,26,7,0,1,0,1,1,0,0,12,10,12,1618116312945,blue,NA1_3861958847
28845,382,92,30239,22425,325,97,28559,24,6,0,0,0,0,2,1,0,13,12,6,25,4,0,1,0,1,0,0,0,6,3,13,1618570645052,blue,NA1_3868939510
27480,356,94,30315,22947,268,76,26011,19,5,0,0,1,1,1,0,0,11,8,8,27,1,0,0,0,0,0,1,0,8,8,11,1617952085863,blue,NA1_3859568731
35301,330,95,31805,20115,250,45,20890,27,3,0,0,0,0,6,1,1,23,24,6,23,2,0,0,0,1,0,0,0,6,7,23,1618847824146,blue,NA1_3873297413
26102,357,91,29425,24883,335,111,30261,26,5,0,0,1,1,0,1,0,10,11,8,22,5,0,0,0,0,0,0,0,8,4,10,1618101321622,blue,NA1_3861577384
26239,259,53,28127,27247,297,81,29481,19,6,0,0,0,0,0,0,0,16,15,18,21,4,1,1,0,0,0,1,0,18,14,16,1618806153713,blue,NA1_3872877130
28247,334,52,28071,26055,335,72,28695,18,1,0,0,0,0,1,1,0,12,10,13,21,5,1,1,0,0,0,0,0,13,17,12,1618031765347,blue,NA1_3860650317
28049,305,71,27182,26701,255,64,26935,27,6,0,1,1,0,1,0,0,15,16,16,27,3,0,0,0,0,0,0,0,16,19,15,1618033549573,blue,NA1_3860705039
29535,317,48,28041,28365,302,79,27448,31,9,1,0,0,0,2,0,0,17,27,16,31,7,0,0,0,0,0,1,0,16,14,17,1618693358539,blue,NA1_3870943883
29624,369,135,32769,22812,367,76,27767,32,8,0,1,0,1,1,1,0,12,11,6,29,18,0,0,0,0,0,0,0,6,3,12,1618687565179,blue,NA1_3870762266
27055,306,84,30032,29400,330,124,30280,23,8,0,0,0,0,0,0,0,14,19,17,33,5,0,1,1,0,1,1,0,17,13,14,1618664967799,blue,NA1_3870420749
27383,331,88,30663,24725,336,72,28647,26,3,0,0,0,0,1,1,0,11,8,9,25,3,0,0,0,0,0,0,0,9,12,11,1618119282647,blue,NA1_3862070272
30476,309,95,31111,26350,332,90,26591,22,9,0,0,0,1,3,1,0,15,13,14,34,4,0,1,0,0,0,0,0,14,14,15,1618667323029,blue,NA1_3870413268
23711,285,79,26390,33359,359,59,30506,26,3,0,0,0,0,0,0,0,10,11,23,25,5,1,0,0,0,3,1,0,23,25,10,1618757297582,red,NA1_3871871286
24246,360,79,28660,27969,385,91,30511,26,5,0,0,0,0,0,1,0,5,4,11,26,7,0,0,1,0,1,0,0,11,14,5,1618554041257,red,NA1_3868735411
24662,274,108,28970,33677,355,104,33850,23,3,0,0,0,0,0,0,0,8,9,23,24,5,0,1,1,0,2,0,0,23,18,8,1618752874875,red,NA1_3871864612
28413,349,116,31061,23175,341,88,25863,27,6,0,0,1,0,1,1,0,13,17,5,24,6,0,0,0,0,0,0,0,5,5,13,1618132906537,blue,NA1_3862277266
22932,302,48,24279,33738,314,107,32120,23,3,0,0,0,0,0,0,0,8,8,23,21,4,1,0,0,1,2,1,0,23,24,8,1618140671494,red,NA1_3862308048
26336,387,80,31131,23535,361,116,30089,22,8,0,0,0,0,0,1,0,9,10,5,24,6,1,0,0,1,0,0,0,5,4,9,1618556112485,blue,NA1_3868800317
27529,388,90,30117,25977,351,66,29874,29,10,0,1,0,1,2,1,0,10,5,11,30,6,0,0,0,0,0,0,0,11,14,10,1618296736066,red,NA1_3864733529
25370,310,102,29375,29761,384,79,29761,28,4,0,0,0,1,0,0,0,10,11,13,22,13,1,0,0,0,2,1,0,13,16,10,1618748709346,red,NA1_3871822000
23000,320,81,27361,31203,371,115,33041,24,2,0,0,0,0,0,0,0,6,4,15,25,6,0,1,1,0,3,1,0,15,16,6,1618644932417,red,NA1_3870228275
